Video,SID,Exclude,Age,Trial,Condition,DropChoice,Point_DropLocation,DropLocation,WhichSpace,Notes,BounceHit,NumberHits
M2U03290,121219_03,,,8,,dumbbell,,space,pyramid,,,
M2U03290,121219_03,,,9,,torus,,space,cone,,,
M2U03290,121219_03,,,10,,pyramid,,space,cone,,,
M2U03290,121219_03,,,11,,cone,,space,pentagon,,pentagon,
M2U03290,121219_03,,,12,,pipe,,space,bowl,,,
M2U03291,121219_04,,,1,,cone,,pentagon,,,,
M2U03291,121219_04,,,2,,pipe,,space,pentagon,,pentagon,
M2U03291,121219_04,,,3,,torus,,space,octahedron,,,
M2U03291,121219_04,,,4,,pyramid,,space,pipe,,,
M2U03291,121219_04,,,5,,dumbbell,,space,pyramid,,,
M2U03291,121219_04,,,6,,bowl,,space,torus,,torus,
M2U03291,121219_04,,,7,,torus,,space,bowl,,bowl,
M2U03291,121219_04,,,8,,pyramid,,space,bowl,,,
M2U03291,121219_04,,,9,,dumbbell,,space,octahedron,,,
M2U03291,121219_04,,,10,,pentagon,,space,cone,,,
M2U03291,121219_04,,,11,,pipe,,space,trig prism,,torus,
M2U03291,121219_04,,,12,,cone,,space,torus,,,
M2U03296,121319_01,,,1,,pipe,,space,center,,torus,
M2U03296,121319_01,,,2,,octahedron,,space,pyramid,,,
M2U03296,121319_01,,,3,,dumbbell,,space,cone,,cone,
M2U03296,121319_01,,,4,,bowl,,space,cone,touched cone before drop,,
M2U03296,121319_01,,,5,,torus,,space,dumbbell,,dumbbell,
M2U03296,121319_01,,,6,,trig prism,,space,pentagon,,,
M2U03296,121319_01,,,7,,pentagon,,space,torus,kneeling before drop from low,,
M2U03296,121319_01,,,8,,pentagon,,space,trig prism,,,
M2U03296,121319_01,,,9,,pyramid,,space,pipe,,,
M2U03296,121319_01,,,10,,torus,,space,cone,,octahedron,
M2U03296,121319_01,,,11,,cone,,pentagon,,,,
M2U03296,121319_01,,,12,,octahedron,center,pentagon,,,bowl,2
M2U03297,121319_02,,,1,,cone,,space,bowl,,pentagon,
M2U03297,121319_02,,,2,,pipe,,dumbbell,,,,
M2U03297,121319_02,,,3,,trig prism,,octahedron,,,,
M2U03297,121319_02,,,4,,torus,,space,octahedron,,,
M2U03297,121319_02,,,5,,bowl,,space,pyramid,,,
M2U03297,121319_02,,,6,,dumbbell,,pyramid,,,,
M2U03297,121319_02,,,7,,pyramid,,space,dumbbell,,,
M2U03297,121319_02,,,8,,trig prism,,dumbbell,,,,
M2U03297,121319_02,,,9,,dumbbell,,space,pipe,,,
M2U03297,121319_02,,,10,,pentagon,,space,cone,,,
M2U03297,121319_02,,,11,,octahedron,,space,pyramid,,,
M2U03297,121319_02,,,12,,pipe,,pyramid,,,,
M2U03298,121319_03,,,1,,cone,,space,torus,,,
M2U03298,121319_03,,,2,,cone,,pyramid,,,,
M2U03298,121319_03,,,3,,bowl,,octahedron,,,,
M2U03298,121319_03,,,4,,pentagon,,cone,,,,
M2U03298,121319_03,,,5,,trig prism,,dumbbell,,,,
