episode,collision_object_1,collision_object_2,collision_count,ground_object_1,ground_object_2,ground_object_3,available_drop_object_1,available_drop_object_2,available_drop_object_3,dropped_object
832,Sphere,TriangularPrism,2,Cylinder,Sphere,Torus,Cube,Dumbbell,TriangularPrism,TriangularPrism
833,None,None,0,Dumbbell,Sphere,Torus,Dumbbell,Pipe,Pyramid,Pipe
834,None,None,0,Pipe,Torus,TriangularPrism,Octahedron,Pyramid,Sphere,Sphere
835,Ring,Pipe,1,Pipe,Pyramid,Sphere,Dumbbell,Ring,Sphere,Ring
836,None,None,0,Cone,Octahedron,Sphere,Dumbbell,Pentagon,Pipe,Pentagon
837,None,None,0,Bowl,Dumbbell,Pyramid,Dumbbell,Pipe,Ring,Dumbbell
838,Pipe,Cube,1,Bowl,Pipe,Ring,Cube,Pipe,Torus,Cube
839,None,None,0,Bowl,Pentagon,Pyramid,Cube,Sphere,TriangularPrism,Sphere
840,None,None,0,Cylinder,Pyramid,Sphere,Dumbbell,Pipe,Torus,Pipe
841,Cube,Cylinder,1,Cylinder,Ring,TriangularPrism,Cone,Cube,Sphere,Cube
842,None,None,0,Bowl,Pyramid,Torus,Pentagon,Ring,TriangularPrism,TriangularPrism
843,Ring,TriangularPrism,1,Bowl,Cylinder,Ring,Cylinder,Sphere,TriangularPrism,TriangularPrism
844,Cone,Cone,1,Cone,Ring,Torus,Cone,Cube,Torus,Cone
845,Dumbbell,Cone,2,Cone,Pyramid,TriangularPrism,Cylinder,Dumbbell,Sphere,Dumbbell
846,None,None,0,Cube,Octahedron,Pentagon,Cylinder,Pipe,Sphere,Cylinder
847,None,None,0,Cube,Sphere,TriangularPrism,Octahedron,Pyramid,TriangularPrism,Octahedron
848,None,None,0,Cylinder,Dumbbell,Pyramid,Bowl,Cone,Pentagon,Pentagon
849,None,None,0,Pipe,Ring,TriangularPrism,Cube,Dumbbell,TriangularPrism,Cube
850,None,None,0,Cone,Octahedron,Torus,Cone,Dumbbell,TriangularPrism,TriangularPrism
851,Cone,Dumbbell,1,Bowl,Dumbbell,Pentagon,Cone,Ring,Sphere,Cone
852,Sphere,Pipe,2,Bowl,Cube,Pipe,Dumbbell,Octahedron,Sphere,Sphere
853,None,None,0,Bowl,Octahedron,Pyramid,Bowl,Cylinder,Pentagon,Pentagon
854,None,None,0,Cube,Dumbbell,Pentagon,Pentagon,Pipe,Sphere,Sphere
855,None,None,0,Cone,Pyramid,Sphere,Bowl,Ring,Sphere,Bowl
856,Pyramid,Pipe,1,Cone,Pyramid,TriangularPrism,Pentagon,Pipe,Torus,Pipe
857,Torus,TriangularPrism,2,Bowl,Octahedron,TriangularPrism,Pipe,Torus,TriangularPrism,Torus
858,None,None,0,Cube,Cylinder,Pyramid,Cube,Ring,Torus,Torus
859,Dumbbell,Cone,1,Cone,Pentagon,Torus,Dumbbell,Pyramid,Sphere,Dumbbell
860,Ring,Octahedron,1,Cube,Cylinder,Ring,Octahedron,Sphere,Torus,Octahedron
861,Dumbbell,Octahedron,1,Octahedron,Pentagon,Ring,Bowl,Dumbbell,Octahedron,Dumbbell
862,None,None,0,Cube,Pyramid,TriangularPrism,Cone,Cylinder,Torus,Torus
863,Cone,Cube,1,Cone,Pipe,Torus,Cube,Pyramid,TriangularPrism,Cube
864,None,None,0,Cylinder,Dumbbell,Ring,Bowl,Pentagon,Torus,Pentagon
865,None,None,0,Cube,Cylinder,Ring,Cylinder,Pentagon,Torus,Pentagon
866,Pentagon,Torus,2,Cone,Ring,Torus,Bowl,Dumbbell,Pentagon,Pentagon
867,Bowl,TriangularPrism,1,Cylinder,Ring,TriangularPrism,Bowl,Cube,Sphere,Bowl
868,Bowl,Octahedron,1,Bowl,Cylinder,Torus,Cone,Octahedron,Sphere,Octahedron
869,None,None,0,Cone,Dumbbell,Pipe,Pentagon,Pipe,Torus,Pipe
870,None,None,0,Cylinder,Dumbbell,Pentagon,Cone,Cube,Pipe,Cone
871,None,None,0,Bowl,Cone,Sphere,Bowl,Pyramid,Ring,Bowl
872,None,None,0,Cube,Octahedron,Pipe,Cone,Octahedron,Sphere,Sphere
873,None,None,0,Cube,Dumbbell,Ring,Bowl,Dumbbell,Pyramid,Dumbbell
874,Sphere,Pipe,1,Cone,Cylinder,Pipe,Octahedron,Pentagon,Sphere,Sphere
875,None,None,0,Cone,Cube,Sphere,Dumbbell,Pentagon,Sphere,Pentagon
876,None,None,0,Cone,Cylinder,Sphere,Pentagon,Pipe,Sphere,Pipe
877,None,None,0,Dumbbell,Pentagon,Sphere,Bowl,Ring,Sphere,Ring
878,Cube,Ring,1,Cube,Dumbbell,Octahedron,Bowl,Octahedron,Ring,Ring
879,Pipe,TriangularPrism,2,Bowl,Octahedron,TriangularPrism,Pentagon,Pipe,Ring,Pipe
880,Ring,Octahedron,1,Cone,Pipe,Ring,Octahedron,Pyramid,Sphere,Octahedron
881,None,None,0,Dumbbell,Pentagon,Torus,Cylinder,Pentagon,TriangularPrism,TriangularPrism
882,Cylinder,Pentagon,2,Cylinder,Dumbbell,Pentagon,Pentagon,Ring,Sphere,Pentagon
883,Bowl,Ring,2,Bowl,Cone,Sphere,Cube,Cylinder,Ring,Ring
884,Pentagon,Cone,2,Cone,Pipe,Torus,Dumbbell,Pentagon,Torus,Pentagon
885,None,None,0,Cube,Dumbbell,Ring,Bowl,Cylinder,Dumbbell,Cylinder
886,Ring,Pyramid,1,Dumbbell,Ring,Torus,Octahedron,Pyramid,Sphere,Pyramid
887,Pipe,Torus,3,Bowl,Pipe,Torus,Cone,Pipe,Torus,Pipe
888,None,None,0,Pipe,Pyramid,Sphere,Cube,Cylinder,TriangularPrism,Cylinder
889,None,None,0,Cylinder,Pipe,Ring,Bowl,Pyramid,Ring,Bowl
890,Pentagon,Cube,1,Cube,Ring,Torus,Cone,Pentagon,Sphere,Pentagon
891,TriangularPrism,Pentagon,1,Bowl,Octahedron,Pentagon,Pipe,Torus,TriangularPrism,TriangularPrism
892,Pentagon,Dumbbell,1,Cylinder,Pentagon,Ring,Cylinder,Dumbbell,Octahedron,Dumbbell
893,None,None,0,Cylinder,Pyramid,Sphere,Cube,Pentagon,Sphere,Cube
894,TriangularPrism,Ring,2,Cone,Octahedron,Ring,Cube,Octahedron,TriangularPrism,TriangularPrism
895,Pyramid,Pipe,2,Bowl,Pipe,Torus,Cube,Cylinder,Pyramid,Pyramid
896,Dumbbell,TriangularPrism,1,Cylinder,Ring,TriangularPrism,Dumbbell,Octahedron,Pyramid,Dumbbell
897,Bowl,TriangularPrism,1,Pipe,Torus,TriangularPrism,Bowl,Pyramid,Ring,Bowl
898,None,None,0,Cube,Octahedron,Pipe,Pipe,Pyramid,TriangularPrism,Pipe
899,None,None,0,Cube,Cylinder,Sphere,Cube,Dumbbell,Pyramid,Cube
900,None,None,0,Cone,Dumbbell,Ring,Bowl,Dumbbell,Torus,Bowl
901,None,None,0,Pipe,Sphere,Torus,Bowl,Octahedron,Pentagon,Octahedron
902,None,None,0,Cube,Pyramid,TriangularPrism,Cone,Pyramid,TriangularPrism,TriangularPrism
903,TriangularPrism,Sphere,1,Cylinder,Pentagon,TriangularPrism,Sphere,Torus,TriangularPrism,Sphere
904,None,None,0,Bowl,Pyramid,TriangularPrism,Cone,Dumbbell,Pentagon,Pentagon
905,Pipe,Bowl,1,Bowl,Sphere,Torus,Cone,Pentagon,Pipe,Pipe
906,Octahedron,Sphere,1,Cylinder,Dumbbell,Sphere,Cylinder,Octahedron,Pipe,Octahedron
907,None,None,0,Cube,Cylinder,Torus,Bowl,Pyramid,Ring,Pyramid
908,TriangularPrism,Cylinder,1,Pentagon,Sphere,TriangularPrism,Cube,Cylinder,Dumbbell,Cylinder
909,None,None,0,Bowl,Cube,Pyramid,Dumbbell,Pipe,Sphere,Pipe
910,None,None,0,Cylinder,Torus,TriangularPrism,Bowl,Cone,Ring,Bowl
911,None,None,0,Cylinder,Octahedron,Ring,Cylinder,Ring,Sphere,Ring
912,None,None,0,Cone,Cube,Sphere,Pentagon,Pyramid,Torus,Pentagon
913,None,None,0,Bowl,Dumbbell,TriangularPrism,Dumbbell,Sphere,Torus,Torus
914,Pentagon,Dumbbell,2,Cone,Cylinder,Dumbbell,Bowl,Dumbbell,Pentagon,Pentagon
915,None,None,0,Cone,Octahedron,Sphere,Cylinder,Octahedron,Torus,Cylinder
916,None,None,0,Bowl,Pipe,Sphere,Ring,Sphere,TriangularPrism,Sphere
917,Torus,Sphere,1,Cone,Torus,TriangularPrism,Ring,Sphere,Torus,Sphere
918,TriangularPrism,TriangularPrism,3,Octahedron,Ring,TriangularPrism,Cube,Pipe,TriangularPrism,TriangularPrism
919,None,None,0,Cone,Cube,Torus,Cylinder,Pipe,Sphere,Sphere
920,None,None,0,Cube,Sphere,Torus,Cone,Cube,TriangularPrism,Cone
921,None,None,0,Octahedron,Pentagon,Torus,Cube,Ring,TriangularPrism,Cube
922,Cylinder,Ring,1,Bowl,Octahedron,Ring,Cylinder,Ring,Sphere,Cylinder
923,None,None,0,Bowl,Pyramid,Torus,Pentagon,Ring,Torus,Pentagon
924,Torus,Dumbbell,1,Dumbbell,Pentagon,Pipe,Octahedron,Ring,Torus,Torus
925,None,None,0,Dumbbell,Pentagon,TriangularPrism,Cylinder,Pipe,Ring,Cylinder
926,None,None,0,Pentagon,Pyramid,TriangularPrism,Bowl,Cone,Cylinder,Cylinder
927,None,None,0,Cube,Dumbbell,TriangularPrism,Cone,Cylinder,TriangularPrism,Cylinder
928,Bowl,Pipe,1,Bowl,Pyramid,Sphere,Pipe,Pyramid,TriangularPrism,Pipe
929,Pyramid,Torus,1,Cube,Dumbbell,Torus,Cone,Cube,Pyramid,Pyramid
930,Pyramid,Dumbbell,1,Dumbbell,Sphere,Torus,Pentagon,Pyramid,TriangularPrism,Pyramid
931,Octahedron,Cone,1,Cone,Dumbbell,Torus,Cylinder,Octahedron,Pipe,Octahedron
932,None,None,0,Cube,Pentagon,Pyramid,Cube,Pipe,Torus,Torus
933,None,None,0,Cube,Sphere,TriangularPrism,Bowl,Cone,Cube,Cube
934,None,None,0,Cylinder,Pentagon,Pipe,Bowl,Pentagon,Torus,Pentagon
935,None,None,0,Cone,Cube,Pipe,Cylinder,Pentagon,Pyramid,Pyramid
936,Pentagon,Torus,2,Pentagon,Sphere,Torus,Cube,Pentagon,TriangularPrism,Pentagon
937,None,None,0,Cone,Pyramid,Ring,Cylinder,Dumbbell,TriangularPrism,Dumbbell
938,Dumbbell,Octahedron,1,Dumbbell,Octahedron,Pentagon,Bowl,Octahedron,Sphere,Octahedron
939,None,None,0,Dumbbell,Sphere,Torus,Bowl,Dumbbell,Pipe,Pipe
940,Pyramid,Torus,2,Cube,Pyramid,Sphere,Octahedron,Ring,Torus,Torus
941,None,None,0,Pentagon,Pipe,TriangularPrism,Cube,Cylinder,Sphere,Cylinder
942,None,None,0,Bowl,Cylinder,Torus,Ring,Sphere,TriangularPrism,Sphere
943,None,None,0,Cube,Cylinder,Pipe,Bowl,Cube,Torus,Cube
944,Octahedron,Ring,1,Bowl,Octahedron,Pyramid,Cone,Ring,TriangularPrism,Ring
945,None,None,0,Cone,Pipe,TriangularPrism,Pipe,Pyramid,TriangularPrism,TriangularPrism
946,Pyramid,Torus,1,Pipe,Pyramid,TriangularPrism,Dumbbell,Sphere,Torus,Torus
947,None,None,0,Bowl,Cone,Cylinder,Cube,Octahedron,Pipe,Octahedron
948,None,None,0,Octahedron,Pentagon,Ring,Cone,Cube,Pyramid,Cone
949,Torus,Ring,1,Dumbbell,Ring,TriangularPrism,Cylinder,Pentagon,Torus,Torus
950,Pyramid,TriangularPrism,1,Cylinder,Pyramid,Torus,Cone,Dumbbell,TriangularPrism,TriangularPrism
951,Cube,Cube,1,Bowl,Cube,Pyramid,Bowl,Cube,Sphere,Cube
952,None,None,0,Cone,Ring,Sphere,Dumbbell,Octahedron,Ring,Octahedron
953,Dumbbell,Bowl,1,Cube,Dumbbell,Pyramid,Bowl,Dumbbell,TriangularPrism,Bowl
954,Cylinder,Bowl,1,Cube,Cylinder,Sphere,Bowl,Cone,Pentagon,Bowl
955,Pyramid,Dumbbell,1,Cube,Dumbbell,Torus,Bowl,Cube,Pyramid,Pyramid
956,None,None,0,Cylinder,Octahedron,Pipe,Cone,Torus,TriangularPrism,Cone
957,Pentagon,Cylinder,1,Bowl,Pentagon,TriangularPrism,Cylinder,Pentagon,Torus,Cylinder
958,Ring,Cone,1,Dumbbell,Ring,TriangularPrism,Cone,Octahedron,Pentagon,Cone
959,Dumbbell,Dumbbell,2,Dumbbell,Octahedron,Pentagon,Bowl,Dumbbell,TriangularPrism,Dumbbell
960,Cylinder,Cube,2,Cube,Ring,TriangularPrism,Cylinder,Pentagon,Pipe,Cylinder
961,Cone,Torus,1,Cube,Pyramid,Torus,Cone,Cube,Cylinder,Cone
962,Torus,Pipe,1,Cube,Torus,TriangularPrism,Cube,Pipe,Torus,Pipe
963,Cube,Bowl,1,Bowl,Cube,Cylinder,Bowl,Sphere,TriangularPrism,Bowl
964,None,None,0,Dumbbell,Torus,TriangularPrism,Cylinder,Pipe,Ring,Cylinder
965,None,None,0,Bowl,Cone,Pipe,Cone,Pentagon,TriangularPrism,TriangularPrism
966,Cube,Cylinder,1,Cone,Cube,Dumbbell,Bowl,Cylinder,Octahedron,Cylinder
967,None,None,0,Cone,Cube,Dumbbell,Dumbbell,Pipe,Torus,Torus
968,TriangularPrism,Cone,2,Cylinder,Pipe,TriangularPrism,Cone,Pyramid,Ring,Cone
969,Pentagon,Pipe,1,Cylinder,Pentagon,Pipe,Dumbbell,Pentagon,Pyramid,Pentagon
970,Torus,Bowl,2,Octahedron,Torus,TriangularPrism,Bowl,Pipe,Ring,Bowl
971,Pyramid,Cube,1,Bowl,Cube,TriangularPrism,Pipe,Pyramid,Torus,Pyramid
972,TriangularPrism,Ring,1,Cone,Pentagon,Ring,Octahedron,Ring,TriangularPrism,TriangularPrism
973,None,None,0,Cone,Octahedron,Sphere,Cube,Sphere,TriangularPrism,Sphere
974,None,None,0,Pipe,Torus,TriangularPrism,Octahedron,Pyramid,Torus,Octahedron
975,None,None,0,Cone,Octahedron,Pentagon,Bowl,Cone,Pentagon,Cone
976,None,None,0,Cylinder,Octahedron,Pipe,Cone,Pyramid,Ring,Cone
977,None,None,0,Cylinder,Octahedron,Pipe,Cone,Dumbbell,Sphere,Cone
978,None,None,0,Cone,Pipe,Sphere,Cone,Cube,Dumbbell,Cone
979,Pyramid,Pyramid,1,Cone,Octahedron,Pyramid,Bowl,Cylinder,Pyramid,Pyramid
980,Cylinder,Pentagon,1,Cube,Cylinder,Pyramid,Octahedron,Pentagon,Pipe,Pentagon
981,TriangularPrism,Pyramid,1,Octahedron,Pyramid,Torus,Cone,Dumbbell,TriangularPrism,TriangularPrism
982,Bowl,Torus,3,Bowl,Cube,Octahedron,Bowl,Cube,Torus,Torus
983,None,None,0,Pipe,Pyramid,Sphere,Cone,Cylinder,Sphere,Cylinder
984,Pipe,Octahedron,1,Cylinder,Pipe,Sphere,Cylinder,Octahedron,Sphere,Octahedron
985,Cone,Ring,2,Octahedron,Ring,Torus,Bowl,Cone,Cube,Cone
986,None,None,0,Cone,Octahedron,Torus,Bowl,Pentagon,Sphere,Sphere
987,Pentagon,Ring,1,Cylinder,Pentagon,Pipe,Dumbbell,Pipe,Ring,Ring
988,None,None,0,Bowl,Octahedron,Pentagon,Cone,Cube,Sphere,Cube
989,Sphere,Pyramid,1,Pipe,Pyramid,TriangularPrism,Cylinder,Sphere,TriangularPrism,Sphere
990,Ring,Cube,1,Pentagon,Ring,Torus,Cone,Cube,Pentagon,Cube
991,Ring,Sphere,1,Cylinder,Sphere,TriangularPrism,Pyramid,Ring,Torus,Ring
992,None,None,0,Dumbbell,Octahedron,Pipe,Bowl,Cone,Pipe,Pipe
993,None,None,0,Bowl,Sphere,Torus,Pentagon,Pipe,Torus,Torus
994,TriangularPrism,Torus,2,Pipe,Sphere,Torus,Pentagon,Torus,TriangularPrism,TriangularPrism
995,TriangularPrism,Bowl,1,Pentagon,Sphere,TriangularPrism,Bowl,Cube,Ring,Bowl
996,Pipe,TriangularPrism,1,Octahedron,Pipe,TriangularPrism,Cylinder,Octahedron,TriangularPrism,TriangularPrism
997,Cone,TriangularPrism,2,Pyramid,Ring,TriangularPrism,Bowl,Cone,Torus,Cone
998,Sphere,Pentagon,1,Bowl,Pyramid,Sphere,Pentagon,Pipe,Pyramid,Pentagon
999,None,None,0,Cone,Pentagon,Torus,Bowl,Ring,Sphere,Bowl
1000,Dumbbell,Ring,2,Cube,Dumbbell,Torus,Dumbbell,Pentagon,Ring,Ring
1001,Cube,Ring,1,Pipe,Ring,TriangularPrism,Cone,Cube,Dumbbell,Cube
1002,Bowl,Torus,2,Bowl,Octahedron,Sphere,Cone,Pyramid,Torus,Torus
1003,None,None,0,Cylinder,Torus,TriangularPrism,Cube,Pipe,TriangularPrism,Cube
1004,Octahedron,Cone,1,Cone,Dumbbell,TriangularPrism,Cylinder,Octahedron,Torus,Octahedron
1005,TriangularPrism,Bowl,2,Octahedron,Ring,TriangularPrism,Bowl,Pentagon,Torus,Bowl
1006,None,None,0,Cylinder,Pentagon,TriangularPrism,Bowl,Dumbbell,Octahedron,Dumbbell
1007,Octahedron,Sphere,1,Dumbbell,Octahedron,Torus,Octahedron,Pipe,Sphere,Sphere
1008,Sphere,Sphere,1,Bowl,Ring,Sphere,Bowl,Pentagon,Sphere,Sphere
1009,TriangularPrism,Cone,1,Cone,Octahedron,Pyramid,Pyramid,Torus,TriangularPrism,TriangularPrism
1010,Pyramid,Cube,2,Cylinder,Pyramid,Ring,Bowl,Cube,TriangularPrism,Cube
1011,None,None,0,Cube,Pyramid,Ring,Bowl,Octahedron,TriangularPrism,Bowl
1012,None,None,0,Cone,Pipe,Torus,Bowl,Octahedron,TriangularPrism,TriangularPrism
1013,Cube,Sphere,1,Cube,Sphere,Torus,Cube,Octahedron,Sphere,Sphere
1014,None,None,0,Cube,Dumbbell,Sphere,Octahedron,Sphere,Torus,Sphere
1015,Torus,Cylinder,1,Cone,Cylinder,Dumbbell,Pipe,Pyramid,Torus,Torus
1016,Sphere,Torus,1,Dumbbell,Octahedron,Torus,Bowl,Cylinder,Sphere,Sphere
1017,Pyramid,Pyramid,1,Cone,Pipe,Pyramid,Cylinder,Pyramid,Ring,Pyramid
1018,None,None,0,Pyramid,Ring,TriangularPrism,Cylinder,Octahedron,Pyramid,Pyramid
1019,Octahedron,Pyramid,1,Cylinder,Dumbbell,Pyramid,Cylinder,Octahedron,Sphere,Octahedron
1020,None,None,0,Pipe,Sphere,Torus,Cone,Octahedron,Sphere,Sphere
1021,Bowl,TriangularPrism,1,Bowl,Ring,TriangularPrism,Bowl,Dumbbell,Torus,Bowl
1022,None,None,0,Cube,Cylinder,Sphere,Bowl,Pentagon,Torus,Bowl
1023,TriangularPrism,Sphere,1,Octahedron,Pyramid,TriangularPrism,Cube,Pentagon,Sphere,Sphere
1024,None,None,0,Dumbbell,Octahedron,Pyramid,Cube,Dumbbell,Pentagon,Dumbbell
1025,Pyramid,Pyramid,3,Pipe,Pyramid,Torus,Dumbbell,Pipe,Pyramid,Pyramid
1026,None,None,0,Cone,Dumbbell,Sphere,Octahedron,Pentagon,Pyramid,Octahedron
1027,None,None,0,Octahedron,Pyramid,Ring,Bowl,Cube,TriangularPrism,Bowl
1028,Cylinder,Ring,1,Cone,Cylinder,Dumbbell,Pentagon,Ring,Sphere,Ring
1029,None,None,0,Octahedron,Sphere,Torus,Cube,Pentagon,Pyramid,Pentagon
1030,TriangularPrism,TriangularPrism,2,Cone,Octahedron,TriangularPrism,Cylinder,Octahedron,TriangularPrism,TriangularPrism
1031,Pyramid,Torus,1,Cone,Octahedron,Torus,Pyramid,Ring,Sphere,Pyramid
1032,Pipe,Octahedron,1,Dumbbell,Pipe,TriangularPrism,Bowl,Octahedron,Torus,Octahedron
1033,TriangularPrism,Cone,1,Dumbbell,Pipe,TriangularPrism,Cone,Dumbbell,Octahedron,Cone
1034,None,None,0,Bowl,Cylinder,Sphere,Cube,Pipe,Ring,Pipe
1035,Ring,Pyramid,2,Pipe,Pyramid,Ring,Cube,Pyramid,Ring,Pyramid
1036,Ring,Pyramid,1,Pyramid,Ring,TriangularPrism,Cone,Pentagon,Pyramid,Pyramid
1037,None,None,0,Octahedron,Pyramid,Ring,Bowl,Cylinder,Torus,Cylinder
1038,Pyramid,Cube,2,Bowl,Cube,Pyramid,Cube,Cylinder,Torus,Cube
1039,Octahedron,TriangularPrism,1,Cube,Pipe,TriangularPrism,Dumbbell,Octahedron,Sphere,Octahedron
1040,Pipe,Bowl,1,Bowl,Pyramid,Sphere,Bowl,Dumbbell,Pipe,Pipe
1041,Pentagon,Ring,2,Bowl,Octahedron,Ring,Pentagon,Pipe,Torus,Pentagon
1042,Pyramid,Octahedron,2,Pipe,Pyramid,Torus,Octahedron,Pyramid,TriangularPrism,Octahedron
1043,Bowl,Sphere,1,Bowl,Cube,Pipe,Dumbbell,Sphere,Torus,Sphere
1044,Pyramid,Cone,1,Cone,Cylinder,Sphere,Cylinder,Pipe,Pyramid,Pyramid
1045,Pipe,Cube,2,Cylinder,Pentagon,Pipe,Cube,Octahedron,Pyramid,Cube
1046,Cylinder,Cylinder,1,Cube,Cylinder,Ring,Bowl,Cylinder,Octahedron,Cylinder
1047,None,None,0,Cone,Dumbbell,Ring,Cube,Cylinder,Ring,Cylinder
1048,Sphere,Cone,1,Bowl,Pipe,Sphere,Cone,Octahedron,Torus,Cone
1049,None,None,0,Cone,Pipe,TriangularPrism,Dumbbell,Octahedron,Ring,Octahedron
1050,Pentagon,Torus,3,Cube,Dumbbell,Pentagon,Octahedron,Pyramid,Torus,Torus
1051,Sphere,TriangularPrism,2,Pentagon,Ring,TriangularPrism,Cube,Ring,Sphere,Sphere
1052,Cylinder,Pentagon,1,Cylinder,Octahedron,Pentagon,Bowl,Cube,Pentagon,Pentagon
1053,Pipe,Pentagon,1,Dumbbell,Pentagon,Pipe,Pentagon,Sphere,Torus,Pentagon
1054,None,None,0,Cone,Dumbbell,Pyramid,Dumbbell,Pipe,TriangularPrism,TriangularPrism
1055,Ring,Sphere,2,Octahedron,Sphere,TriangularPrism,Cube,Pyramid,Ring,Ring
1056,Cube,TriangularPrism,1,Bowl,Cube,Cylinder,Bowl,Cone,TriangularPrism,TriangularPrism
1057,Dumbbell,Pyramid,1,Bowl,Dumbbell,Pipe,Bowl,Pentagon,Pyramid,Pyramid
1058,Pipe,Ring,2,Cone,Pipe,Torus,Cone,Octahedron,Ring,Ring
1059,None,None,0,Cone,Cube,Cylinder,Cube,Cylinder,Octahedron,Cylinder
1060,Ring,Dumbbell,1,Pyramid,Ring,Sphere,Bowl,Dumbbell,TriangularPrism,Dumbbell
1061,TriangularPrism,Bowl,1,Bowl,Sphere,Torus,Bowl,Pentagon,TriangularPrism,TriangularPrism
1062,Bowl,Cone,1,Bowl,Pipe,Pyramid,Bowl,Cone,Pipe,Cone
1063,Ring,Dumbbell,2,Pentagon,Ring,TriangularPrism,Dumbbell,Pyramid,Sphere,Dumbbell
1064,Ring,Pentagon,1,Cube,Octahedron,Pentagon,Cone,Pyramid,Ring,Ring
1065,None,None,0,Cone,Dumbbell,Ring,Cylinder,Pyramid,Torus,Torus
1066,None,None,0,Cone,Octahedron,Sphere,Bowl,Octahedron,Pentagon,Pentagon
1067,Octahedron,Sphere,1,Cylinder,Octahedron,Pentagon,Octahedron,Pipe,Sphere,Sphere
1068,None,None,0,Bowl,Pipe,TriangularPrism,Dumbbell,Octahedron,Pyramid,Dumbbell
1069,None,None,0,Cube,Octahedron,Sphere,Bowl,Dumbbell,Pipe,Pipe
1070,None,None,0,Cylinder,Pyramid,Torus,Pentagon,Ring,TriangularPrism,Pentagon
1071,None,None,0,Pipe,Pyramid,TriangularPrism,Octahedron,Pipe,Torus,Octahedron
1072,None,None,0,Cube,Cylinder,Torus,Cube,Octahedron,Torus,Octahedron
1073,Octahedron,Octahedron,2,Octahedron,Sphere,Torus,Octahedron,Sphere,TriangularPrism,Octahedron
1074,Cube,Bowl,2,Bowl,Cube,Pyramid,Bowl,Cube,Ring,Cube
1075,TriangularPrism,Cube,1,Cube,Cylinder,TriangularPrism,Cube,Pyramid,Torus,Cube
1076,Pyramid,Torus,1,Cone,Pipe,Torus,Cylinder,Pyramid,Sphere,Pyramid
1077,Ring,Ring,1,Bowl,Pipe,Ring,Pipe,Pyramid,Ring,Ring
1078,Ring,Dumbbell,2,Octahedron,Pentagon,Ring,Dumbbell,Pipe,Torus,Dumbbell
1079,Cylinder,TriangularPrism,1,Pipe,Pyramid,TriangularPrism,Cylinder,Ring,TriangularPrism,Cylinder
1080,Cone,Pyramid,1,Bowl,Cone,Ring,Cone,Pentagon,Pyramid,Pyramid
1081,Dumbbell,TriangularPrism,1,Cone,Sphere,TriangularPrism,Cone,Dumbbell,Sphere,Dumbbell
1082,Dumbbell,Octahedron,1,Cube,Dumbbell,Torus,Cone,Cube,Octahedron,Octahedron
1083,Cube,Cone,2,Cube,Sphere,Torus,Cone,Ring,Sphere,Cone
1084,Torus,Cone,1,Cone,Pentagon,Pyramid,Cube,Dumbbell,Torus,Torus
1085,Cube,Cube,1,Cone,Cube,Sphere,Cube,Cylinder,Pipe,Cube
1086,Octahedron,Ring,2,Cone,Cylinder,Ring,Octahedron,Pipe,Pyramid,Octahedron
1087,Sphere,Ring,4,Cylinder,Sphere,TriangularPrism,Dumbbell,Ring,Torus,Ring
1088,Cube,Cone,1,Cube,Pentagon,Pyramid,Cone,Octahedron,Sphere,Cone
1089,Cube,Dumbbell,2,Cone,Dumbbell,Pentagon,Cube,Ring,TriangularPrism,Cube
1090,None,None,0,Bowl,Cube,Dumbbell,Pipe,Pyramid,Sphere,Sphere
1091,Pyramid,Octahedron,1,Cylinder,Octahedron,Pyramid,Cone,Cube,Pyramid,Pyramid
1092,Cone,Torus,1,Cube,Sphere,Torus,Cone,Cylinder,Pipe,Cone
1093,None,None,0,Cube,Pipe,TriangularPrism,Cube,Dumbbell,Pipe,Cube
1094,Pyramid,Cone,1,Cone,Cylinder,Pipe,Cube,Pyramid,Ring,Pyramid
1095,Pentagon,Torus,1,Cone,Torus,TriangularPrism,Cylinder,Pentagon,Torus,Pentagon
1096,Cone,Bowl,1,Bowl,Cylinder,TriangularPrism,Cone,Cube,Dumbbell,Cone
1097,None,None,0,Cube,Dumbbell,Sphere,Dumbbell,Pipe,Torus,Dumbbell
1098,Pipe,Bowl,1,Pipe,Pyramid,Sphere,Bowl,Cylinder,Torus,Bowl
1099,None,None,0,Cone,Pentagon,Sphere,Cube,Octahedron,Sphere,Sphere
1100,Torus,Dumbbell,1,Pipe,Ring,Torus,Dumbbell,Pyramid,Sphere,Dumbbell
1101,Sphere,Cylinder,1,Cylinder,Pentagon,Torus,Pentagon,Ring,Sphere,Sphere
1102,Octahedron,Ring,1,Octahedron,Sphere,TriangularPrism,Cylinder,Octahedron,Ring,Ring
1103,None,None,0,Bowl,Pentagon,Pipe,Bowl,Cube,Sphere,Sphere
1104,None,None,0,Cone,Pentagon,Pipe,Cube,Cylinder,Torus,Cylinder
1105,None,None,0,Octahedron,Pyramid,TriangularPrism,Dumbbell,Octahedron,Ring,Ring
1106,None,None,0,Dumbbell,Pentagon,TriangularPrism,Cone,Cylinder,Dumbbell,Cylinder
1107,Dumbbell,Bowl,3,Cube,Dumbbell,Octahedron,Bowl,Ring,Sphere,Bowl
1108,None,None,0,Cone,Pentagon,TriangularPrism,Cone,Cylinder,Pyramid,Pyramid
1109,None,None,0,Cylinder,Torus,TriangularPrism,Octahedron,Pipe,Torus,Torus
